DOCUMENT_NUMBER,TRN_YEAR,TRN_MONTH,TRN_DATE,AMOUNT,CUS_CODE,CUSTOMER_NAME,VAT,DISC,BCODE,USERNAME,AMOUNT_INCLUSIVE,AMOUNT_EXCLUSIVE,TAX_AMOUNT,QUANTITY,DISCOUNT_PERCENT,DISCOUNT,AMOUNT_VALUE,AMT_EXCL,DESCRIPTION,ITEM_CODE,ITEM_PRICE,PW,PWQTY,TRN_TYPE,TELEPHONE,EMAIL,COMPANY,ADDRESS,MPESA_TILL,BRANCH_NAME,_source_sheet,_processed_at
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,2.0,0.0,0.0,50.0,50.0,CPM BLISTER 100s,C0351,25.0,W,200.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,4.0,0.0,0.0,80.0,80.0,CZOLE V6 PESS(CLOTRIMAZOLE ),C0815,20.0,W,4.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,1.0,0.0,0.0,90.0,90.0,ACECLOPARA TABS 30`S(CONACE P),C0840,90.0,W,30.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,10.0,0.0,0.0,45.0,45.0,DICLOFENAC INJ 75MG/3ML 1s,D0117,4.5,W,10.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,1.0,0.0,0.0,70.0,70.0,DICLOFENAC 100MG 100`S(NELAC),D0345,70.0,W,100.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,2.0,0.0,0.0,110.0,110.0,LEVOFLOXACIN 500MG 10`S(GENERIC),L0182,55.0,W,20.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,1.0,0.0,0.0,95.0,95.0,OMEPRAZOLE 20MG 100`S(OMEZ GEN),O0040,95.0,W,100.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,2.0,0.0,0.0,100.0,100.0,PARACETAMOL BLISTER 100`S(PCM),P0071,50.0,W,200.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,1.0,0.0,0.0,145.0,145.0,PROMETHAZINE 25MG 100`S(COSMOS),P0228,145.0,W,100.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,2.0,0.0,0.0,130.0,130.0,PREDNISOLONE 5MG(GENERIC BLUE)100`S,P0259,65.0,W,200.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,10.0,0.0,0.0,250.0,250.0,PARACETAMOL 100ML(PARADOL)PCM,P0417,25.0,W,10.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,1.0,0.0,0.0,190.0,190.0,ACINET 625MG 10`S(AMOXYCLAV),R0118,190.0,W,10.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018663,2025,1,2025-01-02 08:17:42.42,1515.0,CUS001609,COMPASSIONATE,0.0,0.0,1,ELIJAH,1515.0,1515.0,0.0,20.0,0.0,0.0,160.0,160.0,TINIDAZOLE 500MG TABS 4`S,T0774,8.0,W,20.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
CIV10018731,2025,1,2025-01-02 08:33:11.184,631.0,CUS001610,CASH CUSTOMER,0.0,0.0,1,NAOMI,631.0,631.0,0.0,5.0,0.0,0.0,160.0,160.0,CEFTRIAXONE 1GM WITH WATER,A0376,32.0,W,5.0,CSO,"+254798674535, 0786585579,0790291256",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:46:07.324467
