DOCUMENT_NUMBER,TRN_YEAR,TRN_MONTH,TRN_DATE,AMOUNT,CUS_CODE,CUSTOMER_NAME,VAT,DISC,BCODE,USERNAME,AMOUNT_INCLUSIVE,AMOUNT_EXCLUSIVE,TELEPHONE,EMAIL,COMPANY,ADDRESS,MPESA_TILL,BRANCH_NAME,_source_sheet,_processed_at
CNO1003286,2025,1,2025-01-02,-1470.0,C2412352140827,MOMENTS PHARMACEUTICAL UMOJA 2,0.0,0.0,1,MACHARIA,-1470.0,-1470.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003278,2025,1,2025-01-02,-1245.0,C2408228155313,KIMANA,0.0,0.0,1,MACHARIA,-1245.0,-1245.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003279,2025,1,2025-01-02,-1160.0,C2408219103310,CHOKAA HEALTHCARE,0.0,0.0,1,MACHARIA,-1160.0,-1160.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003267,2025,1,2025-01-02,-510.0,CUS001612,HURLINGHAM,0.0,0.0,1,MACHARIA,-510.0,-510.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003280,2025,1,2025-01-02,-510.0,CUS1486,UNICURE PHARMACY,0.0,0.0,1,MACHARIA,-510.0,-510.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003283,2025,1,2025-01-02,-450.0,C2408215093856,WINNERS PHARM,0.0,0.0,1,MACHARIA,-450.0,-450.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003265,2025,1,2025-01-02,-415.0,C2410299144959,FAVOURED MAJENGO,0.0,0.0,1,MACHARIA,-415.0,-415.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003272,2025,1,2025-01-02,-300.0,C2411319125530,MAWE MBILI ,0.0,0.0,1,MACHARIA,-300.0,-300.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003273,2025,1,2025-01-02,-300.0,C2411319125530,MAWE MBILI ,0.0,0.0,1,MACHARIA,-300.0,-300.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003271,2025,1,2025-01-02,-225.0,CUS001645,AGATE OMEGA SAIKA,0.0,0.0,1,MACHARIA,-225.0,-225.0,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
CNO1003285,2025,1,2025-01-02,-207.5,CUS001620,KAYOLE JUNCTION PHARMACY,0.0,0.0,1,MACHARIA,-207.5,-207.5,"+254798674535, 0786585579,0790291256, 0700493693",info@pharmaalliedltd.com,PHARMA & ALLIED LOGISTICS LTD,P.O BOX 37692-00100 NAIROBI,TILL NO,HQ,nextech,2025-09-18T16:45:43.625174
